"","year","month","day","temp","hd","precp","sunhr"
"1","2013","1","1","15.9 ","63 ","0.0 ","2.0 "
"2","2013","1","2","18.5 ","72 ","0.0 ","3.4 "
"3","2013","1","3","16.8 ","79 ","1.0 ","0.1 "
"4","2013","1","4","16.8 ","76 ","0.0 ","7.2 "
"5","2013","1","5","17.8 ","79 ","0.0 ","8.0 "
"6","2013","1","6","18.5 ","80 ","0.0 ","9.1 "
"7","2013","1","7","19.8 ","78 ","0.0 ","5.6 "
"8","2013","1","8","18.8 ","81 ","0.0 ","0.0 "
"9","2013","1","9","16.1 ","81 ","3.0 ","0.0 "
"10","2013","1","10","16.2 ","76 ","0.5 ","0.2 "
"11","2013","1","11","16.5 ","78 ","0.0 ","0.8 "
"12","2013","1","12","18.7 ","82 ","0.0 ","0.2 "
"13","2013","1","13","17.5 ","83 ","3.0 ","1.4 "
"14","2013","1","14","15.9 ","66 ","0.0 ","9.5 "
"15","2013","1","15","16.6 ","71 ","0.0 ","9.2 "
"16","2013","1","16","17.3 ","78 ","0.0 ","8.4 "
"17","2013","1","17","15.6 ","73 ","0.0 ","8.4 "
"18","2013","1","18","14.4 ","62 ","0.0 ","8.7 "
"19","2013","1","19","16.0 ","70 ","0.0 ","9.0 "
"20","2013","1","20","17.9 ","72 ","0.0 ","6.5 "
"21","2013","1","21","20.2 ","67 ","0.0 ","2.6 "
"22","2013","1","22","20.2 ","73 ","0.0 ","0.9 "
"23","2013","1","23","18.4 ","78 ","0.0 ","5.1 "
"24","2013","1","24","18.3 ","75 ","0.0 ","1.6 "
"25","2013","1","25","17.1 ","73 ","0.0 ","1.5 "
"26","2013","1","26","16.1 ","76 ","0.0 ","6.4 "
"27","2013","1","27","17.1 ","68 ","0.0 ","6.8 "
"28","2013","1","28","16.9 ","65 ","0.0 ","9.0 "
"29","2013","1","29","18.6 ","66 ","0.0 ","9.5 "
"30","2013","1","30","18.9 ","65 ","0.0 ","9.6 "
"31","2013","1","31","19.8 ","63 ","0.0 ","9.8 "
"32","2013","2","1","21.8 ","55 ","0.0 ","8.4 "
"33","2013","2","2","22.4 ","66 ","0.0 ","5.6 "
"34","2013","2","3","20.8 ","80 ","1.5 ","2.1 "
"35","2013","2","4","23.3 ","75 ","0.0 ","6.9 "
"36","2013","2","5","22.7 ","75 ","0.0 ","0.4 "
"37","2013","2","6","22.5 ","73 ","0.0 ","7.7 "
"38","2013","2","7","21.1 ","75 ","0.0 ","7.6 "
"39","2013","2","8","18.5 ","70 ","0.0 ","5.3 "
"40","2013","2","9","16.9 ","71 ","0.0 ","9.5 "
"41","2013","2","10","17.1 ","75 ","0.0 ","7.6 "
"42","2013","2","11","17.8 ","76 ","0.0 ","5.8 "
"43","2013","2","12","19.1 ","74 ","0.0 ","8.8 "
"44","2013","2","13","18.8 ","69 ","0.0 ","2.4 "
"45","2013","2","14","21.2 ","70 ","0.0 ","7.8 "
"46","2013","2","15","22.0 ","67 ","0.0 ","9.6 "
"47","2013","2","16","19.3 ","68 ","0.0 ","8.5 "
"48","2013","2","17","20.8 ","72 ","0.0 ","8.5 "
"49","2013","2","18","24.3 ","70 ","0.0 ","9.9 "
"50","2013","2","19","22.2 ","76 ","0.0 ","8.6 "
"51","2013","2","20","17.8 ","72 ","0.0 ","4.8 "
"52","2013","2","21","18.2 ","80 ","0.0 ","6.6 "
"53","2013","2","22","18.0 ","79 ","0.0 ","7.1 "
"54","2013","2","23","18.7 ","74 ","0.0 ","8.2 "
"55","2013","2","24","18.5 ","81 ","0.0 ","5.1 "
"56","2013","2","25","20.3 ","77 ","0.0 ","8.5 "
"57","2013","2","26","22.8 ","70 ","0.0 ","0.2 "
"58","2013","2","27","23.1 ","72 ","0.0 ","7.4 "
"59","2013","2","28","20.8 ","81 ","0.0 ","8.1 "
"60","2013","3","1","23.8 ","74 ","0.0 ","5.1 "
"61","2013","3","2","17.3 ","76 ","0.0 ","0.7 "
"62","2013","3","3","14.5 ","76 ","0.0 ","0.5 "
"63","2013","3","4","17.1 ","59 ","0.0 ","2.0 "
"64","2013","3","5","19.0 ","67 ","0.0 ","9.1 "
"65","2013","3","6","20.0 ","65 ","0.0 ","10.2 "
"66","2013","3","7","20.6 ","61 ","0.0 ","10.7 "
"67","2013","3","8","21.9 ","58 ","0.0 ","10.0 "
"68","2013","3","9","23.3 ","63 ","0.0 ","10.3 "
"69","2013","3","10","24.1 ","68 ","0.0 ","10.3 "
"70","2013","3","11","22.0 ","71 ","0.0 ","9.9 "
"71","2013","3","12","23.2 ","70 ","0.0 ","8.8 "
"72","2013","3","13","24.7 ","75 ","0.0 ","5.5 "
"73","2013","3","14","19.9 ","70 ","0.0 ","0.3 "
"74","2013","3","15","20.7 ","67 ","0.0 ","6.5 "
"75","2013","3","16","21.9 ","74 ","0.0 ","9.3 "
"76","2013","3","17","24.0 ","74 ","0.0 ","9.4 "
"77","2013","3","18","25.3 ","78 ","0.5 ","3.3 "
"78","2013","3","19","25.0 ","79 ","0.0 ","5.1 "
"79","2013","3","20","25.5 ","77 ","0.0 ","7.4 "
"80","2013","3","21","22.4 ","79 ","0.0 ","0.8 "
"81","2013","3","22","24.9 ","73 ","0.0 ","9.2 "
"82","2013","3","23","26.6 ","72 ","0.0 ","10.0 "
"83","2013","3","24","25.9 ","76 ","0.0 ","3.1 "
"84","2013","3","25","23.5 ","69 ","0.0 ","5.7 "
"85","2013","3","26","23.3 ","69 ","0.0 ","7.0 "
"86","2013","3","27","23.8 ","72 ","2.5 ","10.5 "
"87","2013","3","28","24.3 ","70 ","1.0 ","8.2 "
"88","2013","3","29","24.0 ","70 ","0.5 ","6.8 "
"89","2013","3","30","23.0 ","72 ","0.0 ","7.4 "
"90","2013","3","31","22.6 ","79 ","1.0 ","0.6 "
"91","2013","4","1","23.6 ","76 ","T ","4.4 "
"92","2013","4","2","24.8 ","73 ","0.0 ","8.0 "
"93","2013","4","3","22.9 ","78 ","11.5 ","2.3 "
"94","2013","4","4","23.8 ","82 ","1.2 ","3.7 "
"95","2013","4","5","24.4 ","89 ","67.5 ","0.2 "
"96","2013","4","6","22.3 ","84 ","10.0 ","0.0 "
"97","2013","4","7","18.8 ","60 ","0.0 ","0.2 "
"98","2013","4","8","22.2 ","69 ","0.0 ","6.6 "
"99","2013","4","9","22.1 ","79 ","9.5 ","1.8 "
"100","2013","4","10","20.9 ","75 ","0.0 ","2.4 "
"101","2013","4","11","21.1 ","72 ","0.0 ","0.0 "
"102","2013","4","12","19.8 ","81 ","0.0 ","0.8 "
"103","2013","4","13","21.7 ","77 ","0.0 ","0.0 "
"104","2013","4","14","22.2 ","79 ","0.0 ","0.9 "
"105","2013","4","15","24.2 ","73 ","0.0 ","5.1 "
"106","2013","4","16","25.7 ","73 ","0.0 ","4.6 "
"107","2013","4","17","26.5 ","71 ","0.0 ","2.7 "
"108","2013","4","18","26.8 ","76 ","T ","2.5 "
"109","2013","4","19","25.4 ","84 ","1.0 ","0.0 "
"110","2013","4","20","26.7 ","75 ","0.0 ","6.8 "
"111","2013","4","21","22.9 ","77 ","T ","1.0 "
"112","2013","4","22","23.1 ","71 ","0.0 ","4.3 "
"113","2013","4","23","26.0 ","69 ","0.0 ","7.0 "
"114","2013","4","24","27.1 ","76 ","0.0 ","10.7 "
"115","2013","4","25","26.0 ","74 ","0.0 ","4.8 "
"116","2013","4","26","23.9 ","81 ","7.0 ","0.2 "
"117","2013","4","27","22.5 ","87 ","4.0 ","0.0 "
"118","2013","4","28","25.3 ","75 ","0.0 ","8.8 "
"119","2013","4","29","26.8 ","70 ","0.0 ","10.6 "
"120","2013","4","30","27.5 ","75 ","0.0 ","10.0 "
"121","2013","5","1","24.9 ","77 ","5.5 ","3.9 "
"122","2013","5","2","22.7 ","83 ","5.5 ","0.0 "
"123","2013","5","3","23.4 ","85 ","1.0 ","0.0 "
"124","2013","5","4","24.9 ","78 ","0.0 ","0.6 "
"125","2013","5","5","26.0 ","78 ","0.0 ","1.7 "
"126","2013","5","6","26.1 ","80 ","0.0 ","3.7 "
"127","2013","5","7","25.9 ","80 ","0.0 ","0.7 "
"128","2013","5","8","26.8 ","77 ","T ","2.4 "
"129","2013","5","9","27.8 ","73 ","0.0 ","3.1 "
"130","2013","5","10","28.7 ","72 ","0.0 ","10.8 "
"131","2013","5","11","28.3 ","72 ","0.0 ","6.4 "
"132","2013","5","12","26.3 ","85 ","10.0 ","0.0 "
"133","2013","5","13","27.8 ","79 ","2.0 ","8.7 "
"134","2013","5","14","27.9 ","80 ","0.0 ","6.2 "
"135","2013","5","15","28.8 ","74 ","0.0 ","6.7 "
"136","2013","5","16","27.1 ","86 ","12.5 ","0.5 "
"137","2013","5","17","26.9 ","87 ","96.5 ","0.7 "
"138","2013","5","18","26.5 ","92 ","67.5 ","0.3 "
